Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.01     0.00      100     0.00     0.00  int* std::__miter_base<int*>(int*)
  0.00      1.01     0.00      100     0.00     0.00  std::move_iterator<int*> std::make_move_iterator<int*>(int*)
  0.00      1.01     0.00       53     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      1.01     0.00       51     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      1.01     0.00       51     0.00     0.00  int* std::__uninitialized_fill_n<true>::__uninit_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      1.01     0.00       51     0.00     0.00  int* std::__fill_n_a<int*, unsigned long, int>(int*, unsigned long, int const&, std::random_access_iterator_tag)
  0.00      1.01     0.00       51     0.00     0.00  std::iterator_traits<int*>::iterator_category std::__iterator_category<int*>(int* const&)
  0.00      1.01     0.00       51     0.00     0.00  int* std::uninitialized_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      1.01     0.00       51     0.00     0.00  int* std::__uninitialized_fill_n_a<int*, unsigned long, int, int>(int*, unsigned long, int const&, std::allocator<int>&)
  0.00      1.01     0.00       51     0.00     0.00  int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      1.01     0.00       51     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      1.01     0.00       51     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      1.01     0.00       50     0.00     0.00  grid_count(int&, int&, int&, int&, std::vector<int, std::allocator<int> >&, std::vector<double, std::allocator<double> >&)
  0.00      1.01     0.00       50     0.00     0.00  entropy_val(int&, int&, std::vector<int, std::allocator<int> >&)
  0.00      1.01     0.00       50     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      1.01     0.00       50     0.00     0.00  int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      1.01     0.00       50     0.00     0.00  void std::__new_allocator<int>::destroy<int>(int*)
  0.00      1.01     0.00       50     0.00     0.00  void std::__new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      1.01     0.00       50     0.00     0.00  void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
